ID,Stem_ID,Morph_ID,Index,Gloss_ID
pika-peel,pika-peel,pika-peel,0,peel
pike-fart,pike-fart,pike-fart,0,fart
pipi-younger-brother-of-woman,pipi-younger-brother-of-woman,pipi-younger-brother-of-woman,0,younger-brother-of-woman
pirini-walk,pirini-walk,pirini-walk,0,walk
pirini-walk-1,pirini-walk-1,pirini-walk-1,0,walk
pojte-want,pojte-want,pojte-want,0,want
pore-leg,pore-leg,pore-leg,0,leg
poroko-basket-sp,poroko-basket-sp,poroko-basket-sp,0,"basket,sp"
poseti-belly,poseti-belly,poseti-belly,0,belly
pota-mouth,pota-mouth,pota-mouth,0,mouth
poye-above,poye-above,poye-above,0,above
punu-flesh,punu-flesh,punu-flesh,0,flesh
pun-flesh,pun-flesh,pun-flesh,0,flesh
puri-older,puri-older,puri-older,0,older
putu-feel,putu-feel,putu-feel,0,feel
peke-about,peke-about,peke-about,0,about
poko-about,poko-about,poko-about,0,about
penaka-return,penaka-return,penaka-return,0,return
pimi-neck,pimi-neck,pimi-neck,0,neck
pirika-endure,pirika-endure,pirika-endure,0,endure
piti-paint,piti-paint,piti-paint,0,paint
roka-wash,roka-wash,roka-wash,0,wash
roko-crazy,roko-crazy,roko-crazy,0,crazy
romoye-downriver,romoye-downriver,romoye-downriver,0,downriver
rotoro-doctor,rotoro-doctor,rotoro-doctor,0,doctor
rui-older-brother,rui-older-brother,rui-older-brother,0,older-brother
sai-penis,sai-penis,sai-penis,0,penis
sakara-hoplias-malabaricus,sakara-hoplias-malabaricus,sakara-hoplias-malabaricus,0,hoplias-malabaricus
sakau-sand,sakau-sand,sakau-sand,0,sand
saku-sweet-potato,saku-sweet-potato,saku-sweet-potato,0,sweet-potato
samo-cry,samo-cry,samo-cry,0,cry
semo-cry,semo-cry,semo-cry,0,cry
asamo-cry,asamo-cry,asamo-cry,0,cry
sampu-black-piranha,sampu-black-piranha,sampu-black-piranha,0,black-piranha
sapara-heavy-pot,sapara-heavy-pot,sapara-heavy-pot,0,heavy-pot
sare-here-all,sare-here-all,sare-here-all,0,"here,all"
sawo-rapids,sawo-rapids,sawo-rapids,0,rapids
sepami-get-married,sepami-get-married,sepami-get-married,0,get-married
sepan-get-married,sepan-get-married,sepan-get-married,0,get-married
sere-bitter-manioc,sere-bitter-manioc,sere-bitter-manioc,0,bitter-manioc
sojpa-take-out,sojpa-take-out,sojpa-take-out,0,take-out
sopika-skin,sopika-skin,sopika-skin,0,skin
sukase-all,sukase-all,sukase-all,0,all-1
sukutaka-yucuta,sukutaka-yucuta,sukutaka-yucuta,0,yucuta
surukupi-fish-sp,surukupi-fish-sp,surukupi-fish-sp,0,"fish,sp"
sema-die,sema-die,sema-die,0,die
esema-die,esema-die,esema-die,0,die
tajme-ugly,tajme-ugly,tajme-ugly,0,ugly
tajnomo-piaroa,tajnomo-piaroa,tajnomo-piaroa,0,piaroa
tajnon-piaroa,tajnon-piaroa,tajnon-piaroa,0,piaroa
tajromini-bad-omen,tajromini-bad-omen,tajromini-bad-omen,0,bad-omen
tajromin-bad-omen,tajromin-bad-omen,tajromin-bad-omen,0,bad-omen
tajropo-have-fever,tajropo-have-fever,tajropo-have-fever,0,have-fever
takono-other,takono-other,takono-other,0,other
takon-other,takon-other,takon-other,0,other
takunu-laziness,takunu-laziness,takunu-laziness,0,laziness
tapa-beat,tapa-beat,tapa-beat,0,beat
tarine-fast,tarine-fast,tarine-fast,0,fast
taro-say,taro-say,taro-say,0,say
taj-say,taj-say,taj-say,0,say
ta-say,ta-say,ta-say,0,say
tawani-darkness,tawani-darkness,tawani-darkness,0,darkness
tawa-nyctidromus-albicollis,tawa-nyctidromus-albicollis,tawa-nyctidromus-albicollis,0,nyctidromus-albicollis
temeki-defend,temeki-defend,temeki-defend,0,defend
semeki-defend,semeki-defend,semeki-defend,0,defend
semej-defend,semej-defend,semej-defend,0,defend
tojpa-hit,tojpa-hit,tojpa-hit,0,hit
tonko-play,tonko-play,tonko-play,0,play
torono-bird,torono-bird,torono-bird,0,bird
torote-cemetery,torote-cemetery,torote-cemetery,0,cemetery
toto-non-indian,toto-non-indian,toto-non-indian,0,non-indian
tujnaka-iller,tujnaka-iller,tujnaka-iller,0,iller
tuna-water,tuna-water,tuna-water,0,water
tunami-hide,tunami-hide,tunami-hide,0,hide
tunam-hide,tunam-hide,tunam-hide,0,hide
tu-give,tu-give,tu-give,0,give
te-loc,te-loc,te-loc,0,loc
teijpo-far,teijpo-far,teijpo-far,0,far
teijpe-far,teijpe-far,teijpe-far,0,far
teijpo-far-1,teijpo-far-1,teijpo-far-1,0,far
tejta-hollow,tejta-hollow,tejta-hollow,0,hollow
tenesemi-fish,tenesemi-fish,tenesemi-fish,0,fish
tenesem-fish,tenesem-fish,tenesem-fish,0,fish
tewi-3pro,tewi-3pro,tewi-3pro,0,3pro
ta-3pro,ta-3pro,ta-3pro,0,3pro
waijta-mouse,waijta-mouse,waijta-mouse,0,mouse
waijte-head,waijte-head,waijte-head,0,head
waimu-language,waimu-language,waimu-language,0,language
waimu-speak,waimu-speak,waimu-speak,0,speak
waimurun-speak,waimurun-speak,waimurun-speak,0,speak
wajto-fire,wajto-fire,wajto-fire,0,fire
wajyaki-happy,wajyaki-happy,wajyaki-happy,0,happy
wajyaki-be-happy,wajyaki-be-happy,wajyaki-be-happy,0,be-happy
wajyakiti-be-happy,wajyakiti-be-happy,wajyakiti-be-happy,0,be-happy
wajyama-kiss,wajyama-kiss,wajyama-kiss,0,kiss
wanapu-savannah,wanapu-savannah,wanapu-savannah,0,savannah
wanene-aunt,wanene-aunt,wanene-aunt,0,aunt
waraijtokomo-man,waraijtokomo-man,waraijtokomo-man,0,man
waraijtokom-man,waraijtokom-man,waraijtokom-man,0,man
waraijtokon-man,waraijtokon-man,waraijtokon-man,0,man
waraijto-husband,waraijto-husband,waraijto-husband,0,husband
warota-work,warota-work,warota-work,0,work
waruwa-hoti,waruwa-hoti,waruwa-hoti,0,hoti
waruwaru-hoti,waruwaru-hoti,waruwaru-hoti,0,hoti
wasayi-attalea-maripa,wasayi-attalea-maripa,wasayi-attalea-maripa,0,attalea-maripa
wasai-attalea-maripa,wasai-attalea-maripa,wasai-attalea-maripa,0,attalea-maripa
wati-burn,wati-burn,wati-burn,0,burn
waj-burn,waj-burn,waj-burn,0,burn
wawe-loc-aq,wawe-loc-aq,wawe-loc-aq,0,"loc,aq"
wejyaka-into-house-of,wejyaka-into-house-of,wejyaka-into-house-of,0,into-house-of
wejyate-in-house-of,wejyate-in-house-of,wejyate-in-house-of,0,in-house-of
weka-defecate,weka-defecate,weka-defecate,0,defecate
wena-vomit,wena-vomit,wena-vomit,0,vomit
wenkepi-forget,wenkepi-forget,wenkepi-forget,0,forget
wenkepi-forget-1,wenkepi-forget-1,wenkepi-forget-1,0,forget
wenkej-forget,wenkej-forget,wenkej-forget,0,forget
wepi-come,wepi-come,wepi-come,0,come
wej-come,wej-come,wej-come,0,come
wereta-arrive,wereta-arrive,wereta-arrive,0,arrive
werewere-mosquito-sp,werewere-mosquito-sp,werewere-mosquito-sp,0,mosquito-sp
wereyi-cloud,wereyi-cloud,wereyi-cloud,0,cloud
werey-cloud,werey-cloud,werey-cloud,0,cloud
weroro-dog,weroro-dog,weroro-dog,0,dog
weseyu-be-angry,weseyu-be-angry,weseyu-be-angry,0,be-angry
wesei-be-angry,wesei-be-angry,wesei-be-angry,0,be-angry
wiriyamo-woman,wiriyamo-woman,wiriyamo-woman,0,woman
wurijyam-woman,wurijyam-woman,wurijyam-woman,0,woman
wurijyamo-woman,wurijyamo-woman,wurijyamo-woman,0,woman
wurijyan-woman,wurijyan-woman,wurijyan-woman,0,woman
wejka-fall,wejka-fall,wejka-fall,0,fall
wejte-go-down,wejte-go-down,wejte-go-down,0,go-down
we-kill,we-kill,we-kill,0,kill
winiki-sleep,winiki-sleep,winiki-sleep,0,sleep
winik-sleep,winik-sleep,winik-sleep,0,sleep
winij-sleep,winij-sleep,winij-sleep,0,sleep
wire-1pro,wire-1pro,wire-1pro,0,1pro
ya-ra-grandchild,ya-ra-grandchild,ya-ra-grandchild,0,grandchild
yajno-brother-in-law-man,yajno-brother-in-law-man,yajno-brother-in-law-man,0,brother-in-law-man
yaka-all,yaka-all,yaka-all,0,all
yaka-dig-out,yaka-dig-out,yaka-dig-out,0,dig-out
yamane-make,yamane-make,yamane-make,0,make
yaman-make,yaman-make,yaman-make,0,make
yamani-make,yamani-make,yamani-make,0,make
yami-pick-up,yami-pick-up,yami-pick-up,0,pick-up
yan-pick-up,yan-pick-up,yan-pick-up,0,pick-up
yam-pick-up,yam-pick-up,yam-pick-up,0,pick-up
yane-mother,yane-mother,yane-mother,0,mother
sane-mother,sane-mother,sane-mother,0,mother
yaniki-call,yaniki-call,yaniki-call,0,call
yanij-call,yanij-call,yanij-call,0,call
yapijtomo-old,yapijtomo-old,yapijtomo-old,0,old
yapijton-old,yapijton-old,yapijton-old,0,old
yapijtom-old,yapijtom-old,yapijtom-old,0,old
yapechi-grab,yapechi-grab,yapechi-grab,0,grab
yapej-grab,yapej-grab,yapej-grab,0,grab
yapichi-grab,yapichi-grab,yapichi-grab,0,grab
yarika-laugh,yarika-laugh,yarika-laugh,0,laugh
yaruwa-laugh,yaruwa-laugh,yaruwa-laugh,0,laugh
yare-bring,yare-bring,yare-bring,0,bring
yatane-adolescent,yatane-adolescent,yatane-adolescent,0,adolescent
yatam-adolescent,yatam-adolescent,yatam-adolescent,0,adolescent
yatan-adolescent,yatan-adolescent,yatan-adolescent,0,adolescent
yatunu-day,yatunu-day,yatunu-day,0,day
yatum-day,yatum-day,yatum-day,0,day
yatun-day,yatun-day,yatun-day,0,day
yate-loc,yate-loc,yate-loc,0,loc
yawaka-sow,yawaka-sow,yawaka-sow,0,sow
yawaki-grate,yawaki-grate,yawaki-grate,0,grate
yawaj-grate,yawaj-grate,yawaj-grate,0,grate
yawanka-kill,yawanka-kill,yawanka-kill,0,kill
yaye-loc,yaye-loc,yaye-loc,0,loc
yemekunu-five,yemekunu-five,yemekunu-five,0,five
yeme-eat-fruits-eggs-soup,yeme-eat-fruits-eggs-soup,yeme-eat-fruits-eggs-soup,0,eat-fruits-eggs-soup
yenepe-send-away,yenepe-send-away,yenepe-send-away,0,send-away
yepema-pay,yepema-pay,yepema-pay,0,pay
yojma-mix,yojma-mix,yojma-mix,0,mix
yojte-fish-with-hook,yojte-fish-with-hook,yojte-fish-with-hook,0,fish-with-hook
yoko-pimple,yoko-pimple,yoko-pimple,0,pimple
yoki-eat-starch,yoki-eat-starch,yoki-eat-starch,0,eat-starch
yoj-eat-starch,yoj-eat-starch,yoj-eat-starch,0,eat-starch
yopo-find,yopo-find,yopo-find,0,find
yujwa-burn,yujwa-burn,yujwa-burn,0,burn
yumpe-fairly,yumpe-fairly,yumpe-fairly,0,fairly
yutu-forest,yutu-forest,yutu-forest,0,forest
ye-tooth,ye-tooth,ye-tooth,0,tooth
ye-tooth-1,ye-tooth-1,ye-tooth-1,0,tooth
yejpe-bone,yejpe-bone,yejpe-bone,0,bone
yempeka-offend,yempeka-offend,yempeka-offend,0,offend
yeni-drink,yeni-drink,yeni-drink,0,drink
yeni-drink-1,yeni-drink-1,yeni-drink-1,0,drink
yen-drink,yen-drink,yen-drink,0,drink
yeni-drink-2,yeni-drink-2,yeni-drink-2,0,drink
yene-eat-meat,yene-eat-meat,yene-eat-meat,0,eat-meat
yewuku-answer,yewuku-answer,yewuku-answer,0,answer
yeye-tree,yeye-tree,yeye-tree,0,tree
yipi-mountain,yipi-mountain,yipi-mountain,0,mountain
ejpina-often,ejpina-often,ejpina-often,0,often
ekere-jaguar,ekere-jaguar,ekere-jaguar,0,jaguar
empare-already,empare-already,empare-already,0,already
impare-already,impare-already,impare-already,0,already
enuku-go-up,enuku-go-up,enuku-go-up,0,go-up
enuj-go-up,enuj-go-up,enuj-go-up,0,go-up
erine-cooking-pot,erine-cooking-pot,erine-cooking-pot,0,cooking-pot
etipa-go-in-group,etipa-go-in-group,etipa-go-in-group,0,go-in-group
tipa-go-in-group,tipa-go-in-group,tipa-go-in-group,0,go-in-group
ya-erg,ya-erg,ya-erg,0,erg
ya-obl,ya-obl,ya-obl,0,obl
yawe-loc,yawe-loc,yawe-loc,0,loc
yawo-loc,yawo-loc,yawo-loc,0,loc
chawe-loc,chawe-loc,chawe-loc,0,loc
tawara-too,tawara-too,tawara-too,0,too
tawaraij-too,tawaraij-too,tawaraij-too,0,too
chi-cop,chi-cop,chi-cop,0,cop
ch-cop,ch-cop,ch-cop,0,cop
chij-cop,chij-cop,chij-cop,0,cop
wej-cop,wej-cop,wej-cop,0,cop
waraij-like,waraij-like,waraij-like,0,like
warai-like,warai-like,warai-like,0,like
te-go,te-go,te-go,0,go
ke-ins,ke-ins,ke-ins,0,ins
ewenke-ignorant,ewenke-ignorant,ewenke-ignorant,0,ignorant
suku-urine,suku-urine,suku-urine,0,urine
suj-urine,suj-urine,suj-urine,0,urine
mesuku-blood,mesuku-blood,mesuku-blood,0,blood
mesuj-blood,mesuj-blood,mesuj-blood,0,blood
enka-finish,enka-finish,enka-finish,0,finish
enejka-watch,enejka-watch,enejka-watch,0,watch
tawejka-dawn,tawejka-dawn,tawejka-dawn,0,dawn
aniki-who,aniki-who,aniki-who,0,who
aniki-who-1,aniki-who-1,aniki-who-1,0,who
ka-say,ka-say,ka-say,0,say
kaj-say,kaj-say,kaj-say,0,say
iwiti-house,iwiti-house,iwiti-house,0,house
iwij-house,iwij-house,iwij-house,0,house
ej-house,ej-house,ej-house,0,house
tawaja-thus-neg,tawaja-thus-neg,tawaja-thus-neg,0,"thus,neg"
kanta-sing,kanta-sing,kanta-sing,0,sing
ekete-where,ekete-where,ekete-where,0,where
ekej-where,ekej-where,ekej-where,0,where
eki-chicha,eki-chicha,eki-chicha,0,chicha
oki-chicha,oki-chicha,oki-chicha,0,chicha
womi-enter,womi-enter,womi-enter,0,enter
won-enter,won-enter,won-enter,0,enter
i-put,i-put,i-put,0,put
peremeki-talk,peremeki-talk,peremeki-talk,0,talk
